ID_Llamada,Fecha,Numero_Cliente,ID_Problema,Solucionado

16,09/12/2018,41225,5,NO

20,12/07/2018,27512,5,NO

22,25/05/2019,13144,5,SI

28,02/11/2018,7036,5,SI

29,02/12/2018,8521,5,NO

30,23/05/2019,43998,5,NO

31,13/11/2018,3594,5,NO

32,06/10/2018,43698,5,SI

33,11/02/2019,17552,5,NO

42,28/11/2018,30044,5,SI

45,15/09/2018,32366,5,SI

46,22/10/2018,35301,5,NO

48,09/10/2018,26918,5,SI

49,08/01/2019,9340,5,NO

51,11/02/2019,21311,5,SI

52,16/05/2019,4737,5,NO

54,07/08/2018,9386,5,NO

55,06/11/2018,37789,5,NO

58,13/06/2019,46668,5,NO

60,11/08/2018,8487,5,NO

65,17/11/2018,40044,5,NO

68,16/11/2018,13305,5,SI

73,15/09/2018,47141,5,NO

77,05/11/2018,38704,5,NO

92,27/02/2019,22342,5,SI

93,29/05/2019,24280,5,NO

97,03/12/2018,8945,5,SI

110,11/02/2019,19180,5,SI

118,04/12/2018,13407,5,SI

130,03/05/2019,41135,5,SI

136,16/02/2019,41789,5,NO

141,08/07/2018,18334,5,SI

144,02/03/2019,36585,5,NO

145,30/06/2019,40997,5,NO

157,11/12/2018,28188,5,SI

159,08/06/2019,49715,5,SI

164,25/08/2018,12033,5,NO

168,18/01/2019,29237,5,SI

178,13/02/2019,6853,5,NO

183,14/02/2019,24225,5,SI

193,06/12/2018,36382,5,SI

196,02/09/2018,29966,5,SI

197,15/09/2018,49389,5,NO

199,31/05/2019,37019,5,NO

206,04/08/2018,11587,5,SI

207,16/05/2019,21371,5,NO

208,24/08/2018,4505,5,NO

209,27/07/2018,7128,5,NO

214,27/11/2018,44828,5,NO

227,17/06/2019,10264,5,NO

228,14/06/2019,23042,5,NO

233,01/11/2018,24761,5,SI

234,22/11/2018,40376,5,SI

252,04/12/2018,19988,5,NO

256,28/05/2019,9042,5,NO

260,14/10/2018,25606,5,SI

261,16/07/2018,20893,5,NO

270,10/01/2019,35319,5,NO

275,28/08/2018,30595,5,SI

276,16/10/2018,15555,5,NO

282,05/02/2019,19307,5,SI

284,19/02/2019,45973,5,SI

285,08/04/2019,11501,5,NO

290,24/07/2018,46384,5,NO

294,25/10/2018,37780,5,NO

297,13/07/2018,11368,5,SI

306,09/01/2019,7225,5,SI

313,03/11/2018,36995,5,NO

314,29/01/2019,23655,5,SI

317,12/06/2019,8601,5,NO

319,14/05/2019,36489,5,NO

322,19/02/2019,31777,5,NO

333,07/10/2018,20655,5,NO

353,23/08/2018,23520,5,SI

358,08/12/2018,42663,5,SI

359,12/09/2018,19581,5,SI

364,12/10/2018,8610,5,NO

370,18/02/2019,32721,5,SI

371,04/12/2018,39100,5,NO

377,08/01/2019,34825,5,SI

380,06/03/2019,15893,5,SI

386,27/03/2019,5060,5,SI

391,04/11/2018,25077,5,NO

392,06/10/2018,49383,5,SI

402,02/04/2019,37564,5,NO

403,28/08/2018,25459,5,SI

416,09/03/2019,30412,5,SI

425,26/10/2018,23213,5,SI

430,03/06/2019,25346,5,SI

434,27/05/2019,31476,5,NO

446,19/11/2018,26287,5,SI

450,27/07/2018,4034,5,NO

460,30/04/2019,38367,5,NO

482,24/04/2019,37535,5,NO

485,03/07/2019,27765,5,NO

499,27/04/2019,27565,5,SI
